album_id,album_name,artist_id,artist_name,is_famous_artist,genre_name,album_price,album_copies_available,price_band,inventory_band
1,19,8,Adele,1,Blues,10.30,585,Medium,High
2,21,8,Adele,1,Classical,12.52,789,Medium,High
3,25,8,Adele,1,K-pop,13.81,529,Medium,High
4,30,8,Adele,1,Country,15.64,373,Premium,Medium
5,"Yours Truly",68,"Ariana Grande",1,Country,10.67,443,Medium,Medium
6,"My Everything",68,"Ariana Grande",1,Electronic,11.96,800,Medium,High
7,"Dangerous Woman",68,"Ariana Grande",1,Electronic,15.86,830,Premium,High
8,Sweetener,68,"Ariana Grande",1,Electronic,19.50,728,Premium,High
9,"Thank U, Next",68,"Ariana Grande",1,Country,12.99,347,Medium,Medium
10,Positions,68,"Ariana Grande",1,Pop,11.68,502,Medium,High
11,"Eternal Sunshine",68,"Ariana Grande",1,Classical,18.34,438,Premium,Medium
12,"Square Up",78,BLACKPINK,1,Country,9.15,511,Medium,High
13,"Kill This Love",78,BLACKPINK,1,"Hip Hop",14.73,410,Premium,Medium
14,"The Album",78,BLACKPINK,1,Reggae,14.43,497,Premium,Medium
15,"Born Pink",78,BLACKPINK,1,Electronic,9.30,742,Medium,High
16,"Dark & Wild",79,BTS,1,"Hip Hop",11.46,384,Medium,Medium
17,Wings,79,BTS,1,Blues,11.38,226,Medium,Medium
18,"You Never Walk Alone",79,BTS,1,Blues,12.21,372,Medium,Medium
19,"Love Yourself: Her",79,BTS,1,Rock,19.79,486,Premium,Medium
20,"Love Yourself: Tear",79,BTS,1,Country,11.99,382,Medium,Medium
21,"Love Yourself: Answer",79,BTS,1,Blues,11.08,383,Medium,Medium
22,"Map of the Soul: Persona",79,BTS,1,Electronic,18.46,602,Premium,High
23,"Map of the Soul: 7",79,BTS,1,"Hip Hop",11.98,578,Medium,High
24,BE,79,BTS,1,Blues,10.63,751,Medium,High
25,Proof,79,BTS,1,Pop,14.59,624,Premium,High
26,"X 100PRE",80,"Bad Bunny",1,Electronic,12.98,241,Medium,Medium
27,YHLQMDLG,80,"Bad Bunny",1,Country,9.86,737,Medium,High
28,"El Último Tour Del Mundo",80,"Bad Bunny",1,Rock,14.48,586,Premium,High
29,"Un Verano Sin Ti",80,"Bad Bunny",1,Blues,12.70,637,Medium,High
30,"Nadie Sabe Lo Que Va a Pasar Mañana",80,"Bad Bunny",1,"Hip Hop",16.63,671,Premium,High
31,"When We All Fall Asleep, Where Do We Go?",88,"Billie Eilish",1,Reggae,10.73,383,Medium,Medium
32,"Happier Than Ever",88,"Billie Eilish",1,"Hip Hop",19.78,260,Premium,Medium
33,"Hit Me Hard and Soft",88,"Billie Eilish",1,"Hip Hop",14.31,231,Premium,Medium
34,"Doo-Wops & Hooligans",120,"Bruno Mars",1,"Hip Hop",13.60,798,Medium,High
35,"Unorthodox Jukebox",120,"Bruno Mars",1,Blues,18.80,251,Premium,Medium
36,"24K Magic",120,"Bruno Mars",1,Classical,18.10,613,Premium,High
37,"An Evening with Silk Sonic",120,"Bruno Mars",1,Electronic,12.54,265,Medium,Medium
38,Camila,124,"Camila Cabello",1,Classical,13.36,284,Medium,Medium
39,Romance,124,"Camila Cabello",1,Rock,14.35,676,Premium,High
40,Familia,124,"Camila Cabello",1,K-pop,9.80,272,Medium,Medium
41,Amala,236,"Doja Cat",1,Rock,11.75,422,Medium,Medium
42,"Hot Pink",236,"Doja Cat",1,"Hip Hop",15.44,259,Premium,Medium
43,"Planet Her",236,"Doja Cat",1,"Hip Hop",11.43,261,Medium,Medium
44,Scarlet,236,"Doja Cat",1,Classical,9.82,602,Medium,High
45,"Thank Me Later",254,Drake,1,Electronic,8.77,440,Medium,Medium
46,"Take Care",254,Drake,1,Classical,17.90,544,Premium,High
47,"Nothing Was the Same",254,Drake,1,Electronic,11.84,271,Medium,Medium
48,"If You're Reading This It's Too Late",254,Drake,1,Rock,13.62,749,Medium,High
49,Views,254,Drake,1,Blues,9.06,302,Medium,Medium
50,"+ (Plus)",260,"Ed Sheeran",1,Blues,9.90,711,Medium,High
51,"× (Multiply)",260,"Ed Sheeran",1,Country,18.02,555,Premium,High
52,"÷ (Divide)",260,"Ed Sheeran",1,Pop,16.77,254,Premium,Medium
53,"No.6 Collaborations Project",260,"Ed Sheeran",1,Country,10.09,314,Medium,Medium
54,"= (Equals)",260,"Ed Sheeran",1,Rock,9.34,469,Medium,Medium
55,"- (Subtract)",260,"Ed Sheeran",1,Country,18.09,409,Premium,Medium
56,"Autumn Variations",260,"Ed Sheeran",1,Blues,12.61,598,Medium,High
57,"Elvis Presley",276,"Elvis Presley",1,Classical,13.68,789,Medium,High
58,Elvis,276,"Elvis Presley",1,Electronic,17.86,289,Premium,Medium
59,"Loving You",276,"Elvis Presley",1,"Hip Hop",17.68,286,Premium,Medium
60,"Elvis' Christmas Album",276,"Elvis Presley",1,Classical,10.69,796,Medium,High
61,"Elvis Is Back!",276,"Elvis Presley",1,Jazz,15.18,214,Premium,Medium
62,"His Hand in Mine",276,"Elvis Presley",1,"Hip Hop",16.96,786,Premium,High
63,"Something for Everybody",276,"Elvis Presley",1,Rock,10.72,469,Medium,Medium
64,"Pot Luck",276,"Elvis Presley",1,Rock,16.72,264,Premium,Medium
65,"Harry Styles",328,"Harry Styles",1,Blues,14.30,498,Premium,Medium
66,"Fine Line",328,"Harry Styles",1,Electronic,14.83,720,Premium,High
67,"Harry's House",328,"Harry Styles",1,"Hip Hop",9.99,721,Medium,High
68,"Night Visions",341,"Imagine Dragons",1,"Hip Hop",15.66,345,Premium,Medium
69,"Smoke + Mirrors",341,"Imagine Dragons",1,Pop,8.54,339,Medium,Medium
70,Evolve,341,"Imagine Dragons",1,Electronic,9.65,712,Medium,High
71,Origins,341,"Imagine Dragons",1,Reggae,8.61,286,Medium,Medium
72,"Mercury – Act 1",341,"Imagine Dragons",1,Country,15.15,386,Premium,Medium
73,"Mercury – Act 2",341,"Imagine Dragons",1,Country,17.46,669,Premium,High
74,"La Familia",343,"J Balvin",1,Classical,13.45,611,Medium,High
75,Energía,343,"J Balvin",1,Reggae,13.84,647,Medium,High
76,Vibras,343,"J Balvin",1,Blues,14.01,243,Premium,Medium
77,Colores,343,"J Balvin",1,Blues,12.03,694,Medium,High
78,Jose,343,"J Balvin",1,Electronic,11.71,374,Medium,Medium
79,"My World 2.0",496,"Justin Bieber",1,Pop,9.90,238,Medium,Medium
80,"Under the Mistletoe",496,"Justin Bieber",1,Electronic,15.62,217,Premium,Medium
81,Believe,496,"Justin Bieber",1,Blues,15.44,831,Premium,High
82,Purpose,496,"Justin Bieber",1,Pop,15.21,401,Premium,Medium
83,Changes,496,"Justin Bieber",1,Classical,13.73,671,Medium,High
84,Justice,496,"Justin Bieber",1,Classical,14.84,838,Premium,High
85,"The College Dropout",509,"Kanye West",1,Electronic,15.39,454,Premium,Medium
86,"Late Registration",509,"Kanye West",1,Electronic,19.74,223,Premium,Medium
87,Graduation,509,"Kanye West",1,Electronic,14.31,373,Premium,Medium
88,"808s & Heartbreak",509,"Kanye West",1,Rock,14.41,482,Premium,Medium
89,"My Beautiful Dark Twisted Fantasy",509,"Kanye West",1,Classical,12.04,576,Medium,High
90,Yeezus,509,"Kanye West",1,Blues,11.46,789,Medium,High
91,"The Life of Pablo",509,"Kanye West",1,"Hip Hop",12.12,430,Medium,Medium
92,Ye,509,"Kanye West",1,K-pop,10.87,689,Medium,High
93,"Jesus Is King",509,"Kanye West",1,K-pop,14.41,770,Premium,High
94,Donda,509,"Kanye West",1,Country,19.76,760,Premium,High
95,"Katy Hudson",520,"Katy Perry",1,"Hip Hop",14.46,704,Premium,High
96,"One of the Boys",520,"Katy Perry",1,Country,18.23,252,Premium,Medium
97,"Teenage Dream",520,"Katy Perry",1,Reggae,7.71,203,Low,Medium
98,Prism,520,"Katy Perry",1,Pop,8.47,704,Medium,High
99,Witness,520,"Katy Perry",1,Blues,14.69,462,Premium,Medium
100,Smile,520,"Katy Perry",1,Blues,14.59,462,Premium,Medium
101,"The Fame",564,"Lady Gaga",1,Reggae,12.51,205,Medium,Medium
102,"The Fame Monster",564,"Lady Gaga",1,Country,7.81,465,Low,Medium
103,"Born This Way",564,"Lady Gaga",1,Country,8.49,536,Medium,High
104,Artpop,564,"Lady Gaga",1,Pop,16.73,687,Premium,High
105,Joanne,564,"Lady Gaga",1,Jazz,13.44,318,Medium,Medium
106,Chromatica,564,"Lady Gaga",1,Classical,14.48,268,Premium,Medium
107,Lizzobangers,597,Lizzo,1,Blues,11.01,230,Medium,Medium
108,"Big Grrrl Small World",597,Lizzo,1,Rock,15.22,795,Premium,High
109,"Cuz I Love You",597,Lizzo,1,"Hip Hop",14.17,556,Premium,High
110,Special,597,Lizzo,1,Classical,9.64,591,Medium,High
