album_name,quantity_bought
"Sacred Paths (Tales)",5
"Radiant Waves (Soundtrack)",5
"Sapphire Lights (Verse)",5
"Radiant Confessions (Saga)",5
"Moonlit Shadows",5
"Neon Letters (Soundtrack)",5
Wonder,5
"Hidden Rhythms (Vol. II)",1
"Velvet Souls (Redux)",1
"Electric Hearts (Diaries)",1
"Ashen Tides (Tales)",1
"Ashen Rooms (Redux)",1
"Moonlit Waves (Reprise)",1
"Burning Rooms (Blueprint)",1
"Ocean Paradise (Tales)",1
"Velvet Tides (Verse)",1
"Distant Serenade (Saga)",1
Revival,1
Familia,1
Utopia,1
"Broken Lights (Reprise)",1
"Neon Letters (Edition)",1
"Paper Echoes (Sessions)",1
Overexposed,1
"Ashen Signals (Saga)",1
"Storm Rooms (Tales)",1
"Distant Paths (Edition)",1
"Distant Letters (Memoirs)",1
"Echo Whispers (Reprise)",1
Midnights,1
"Whisper Echoes (Chronicles)",1
"Ashen Temples (Diaries)",1
"Frost Stories (Saga)",1
"My Beautiful Dark Twisted Fantasy",1
"Storm Roses (Memoirs)",1
"Paper Roses (Archives)",1
"Hidden Visions (Vol. II)",1
"Glass Reflections (Edition)",1
"Golden Souls (Sessions)",1
"Broken Serenade (Vol. II)",1
"1000 Forms of Fear",1
"Fading Voices (Soundtrack)",1
"Blazing Shadows (Soundtrack)",1
"Midnight Waves (Archives)",1
"Obsidian Paths (Memoirs)",1
"Midnight Reflections (Archives)",1
"Storm Souls (Saga)",1
"Neon Rooms (Redux)",1
"Wild Horizons (Chronicles)",1
"Midnight Rhythms (Reprise)",1
"Whisper Rooms (Tales)",1
"Neon Rhythms (Diaries)",1
"Sapphire Confessions (Tales)",1
"Midnight Desire (Verse)",1
"Distant Visions (Archives)",1
"Silent Whispers (Soundtrack)",1
"Hidden Visions (Vol. I)",1
"Hidden Letters (Reprise)",1
"Moonlit Signals (Tales)",1
"Distant Reflections (Anthology)",1
"Neon Waves (Tales)",1
"Moonlit Desire (Anthology)",1
"You Never Walk Alone",1
"Silent Paths (Archives)",1
"Burning Dreams (Verse)",1
"Broken Stories (Soundtrack)",1
"Broken Temples (Archives)",1
"Distant Souls (Diaries)",1
"Under the Mistletoe",1
"Obsidian Shadows (Verse)",1
"Paper Tides (Memoirs)",1
"Distant Paths (Memoirs)",1
"Electric Echoes (Soundtrack)",1
"Wild Whispers (Soundtrack)",1
"Speak Now",1
"Infinite Voices (Sessions)",1
"Fading Rhythms (Redux)",1
"Lunar Letters (Soundtrack)",1
"Obsidian Temples (Vol. I)",1
"Neon Desire (Edition)",1
"Nobody Is Listening",1
"Echo Serenade (Saga)",1
"Distant Hearts (Verse)",1
"Radiant Rhythms (Archives)",1
"Midnight Stories (Soundtrack)",1
"Broken Rhythms (Edition)",1
"Whisper Confessions (Anthology)",1
"Velvet Visions (Vol. I)",1
"Distant Tides (Tales)",1
"Burning Lights (Verse)",1
Romance,1
"Blazing Whispers",1
"Sacred Stories (Vol. II)",1
"Echo Stories (Archives)",1
"Wild Paradise (Archives)",1
"Neon Horizons (Vol. II)",1
"Broken Rooms (Saga)",1
"Radiant Whispers (Blueprint)",1
"Obsidian Rooms (Verse)",1
"Moonlit Paradise (Memoirs)",1
"Fading Rooms (Verse)",1
"Hit Me Hard and Soft",1
"Fading Roses (Diaries)",1
"This Is Acting",1
"Shattered Voices (Reprise)",1
"Crimson Lights (Blueprint)",1
"Ocean Rooms (Soundtrack)",1
"Frost Tides",1
Yeezus,1
"Broken Lights (Redux)",1
"Neon Rhythms (Memoirs)",1
"Fading Whispers (Anthology)",1
"Sacred Rooms (Vol. II)",1
"Velvet Dreams (Edition)",1
"Blazing Confessions (Redux)",1
Believe,1
"Crimson Souls (Edition)",1
"Ashen Lights (Anthology)",1
"Elvis Is Back!",1
"Fading Shadows (Vol. II)",1
"Distant Serenade (Vol. II)",1
"Radiant Rhythms (Soundtrack)",1
"Golden Roses (Verse)",1
"Silent Confessions (Anthology)",1
"Fading Signals (Anthology)",1
"Distant Waves (Anthology)",1
"Wild Tides (Blueprint)",1
"Silent Paths (Redux)",1
"Paper Stories (Tales)",1
"Neon Shadows (Reprise)",1
"Electric Voices (Reprise)",1
"Lunar Signals (Vol. II)",1
"Distant Roses (Vol. I)",1
Revolver,1
"Golden Reflections (Verse)",1
"Ocean Roses (Diaries)",1
"Broken Lights (Verse)",1
"Electric Signals",1
"Take Care",1
"Silent Souls (Sessions)",1
"Silent Horizons (Chronicles)",1
"Ocean Horizons (Blueprint)",1
"Obsidian Serenade (Blueprint)",1
"Whisper Reflections",1
Donda,1
Evolve,1
"Ashen Visions (Archives)",1
"Sapphire Paths (Edition)",1
"Echo Paradise (Tales)",1
"Electric Roses (Vol. II)",1
"Blazing Voices (Edition)",1
"Ocean Visions (Saga)",1
"Obsidian Confessions (Verse)",1
"Glass Tides (Vol. II)",1
"Velvet Tides (Diaries)",1
"Wild Serenade (Saga)",1
"Ashen Paradise",1
"Radiant Temples (Blueprint)",1
"Velvet Temples (Saga)",1
Stoney,1
"Ocean Roses (Memoirs)",1
"Ashen Letters (Diaries)",1
Evermore,1
"Neon Stories (Vol. II)",1
"Electric Waves (Archives)",1
Elvis,1
"Broken Confessions (Archives)",1
"Wild Paradise (Tales)",1
"Some People Have Real Problems",1
"Distant Paths (Saga)",1
"Obsidian Hearts (Memoirs)",1
"Obsidian Desire (Redux)",1
"Sapphire Paths (Vol. II)",1
"+ (Plus)",1
"Infinite Paths (Blueprint)",1
